date,week,location_id,name,location_resolution,state_of_emergency,shelter_in_place,days_since_1st_case,date_of_1st_case,collapsed_measure
2020-01-03,0,45,South Carolina,state,2020-03-13,2020-04-07,-63,2020-03-06,0.8085200344397109
2020-01-03,0,46,South Dakota,state,2020-03-13,,-67,2020-03-10,0.8740150124574398
2020-01-03,0,50,Vermont,state,2020-03-13,2020-03-25,-64,2020-03-07,0.6697852975683937
2020-01-03,0,56,Wyoming,state,2020-03-13,,-68,2020-03-11,0.9192652912841636
2020-01-03,0,13,Georgia,state,2020-03-14,2020-04-03,-59,2020-03-02,0.8026593164338404
2020-01-03,0,28,Mississippi,state,2020-03-14,2020-03-31,-68,2020-03-11,0.7345139303135436
2020-01-03,0,23,Maine,state,2020-03-15,2020-04-02,-69,2020-03-12,0.8635564691139647
2020-01-03,0,40,Oklahoma,state,2020-03-15,,-63,2020-03-06,0.8227489297113522
2020-01-03,0,54,West Virginia,state,2020-03-16,2020-03-24,-74,2020-03-17,0.970858346685386
2020-01-03,0,19,Iowa,state,2020-03-17,,-65,2020-03-08,0.8096964598142339
2020-01-03,0,48,Texas,state,2020-03-19,2020-04-02,-40,2020-02-12,0.8893777212541472
2020-01-04,0,53,Washington,state,2020-02-29,2020-03-23,-17,2020-01-21,0.8965816741570235
2020-01-04,0,06,California,state,2020-03-04,2020-03-19,-21,2020-01-25,1.0467233308922028
2020-01-04,0,15,Hawaii,state,2020-03-04,2020-03-25,-62,2020-03-06,1.2404965115373763
2020-01-04,0,24,Maryland,state,2020-03-05,2020-03-30,-61,2020-03-05,0.8802048142853044
2020-01-04,0,18,Indiana,state,2020-03-06,2020-03-24,-62,2020-03-06,0.7303761391294907
2020-01-04,0,21,Kentucky,state,2020-03-06,2020-03-26,-62,2020-03-06,0.948432200692158
2020-01-04,0,42,Pennsylvania,state,2020-03-06,2020-04-01,-62,2020-03-06,0.841321450061996
2020-01-04,0,49,Utah,state,2020-03-06,,-52,2020-02-25,1.0453543595152501
2020-01-04,0,36,New York,state,2020-03-07,2020-03-22,-57,2020-03-01,0.935147382334065
2020-01-04,0,41,Oregon,state,2020-03-08,2020-03-23,-55,2020-02-28,0.9379943070436368
2020-01-04,0,12,Florida,state,2020-03-09,2020-04-03,-57,2020-03-01,0.9605624040034577
2020-01-04,0,17,Illinois,state,2020-03-09,2020-03-21,-20,2020-01-24,0.8843660175248593
2020-01-04,0,34,New Jersey,state,2020-03-09,2020-03-21,-60,2020-03-04,0.8913691942622454
2020-01-04,0,39,Ohio,state,2020-03-09,2020-03-24,-65,2020-03-09,0.8544282471471125
2020-01-04,0,44,Rhode Island,state,2020-03-09,2020-03-28,-57,2020-03-01,0.732908582934459
2020-01-04,0,09,Connecticut,state,2020-03-10,2020-03-23,-64,2020-03-08,0.8587279774821305
2020-01-04,0,25,Massachusetts,state,2020-03-10,2020-03-24,-28,2020-02-01,0.9783802288471112
2020-01-04,0,26,Michigan,state,2020-03-10,2020-03-24,-66,2020-03-10,0.8379461762005516
